prefix,k,support,dH,pred_next
4-4-13-4,4,180,0.498329,4
9-9-5-9,4,168,0.515194,9
11-11-5-11,4,167,0.499789,11
11-5-11-11,4,164,0.402204,11
13-13-12-13,4,150,0.524985,13
11-11-15-11,4,149,0.492773,11
2-2-2-13,4,147,0.497473,2
9-9-9-14,4,143,0.532594,9
4-4-4-3,4,142,0.512206,4
7-11-7-7,4,141,0.543767,7
0-0-0-3,4,136,0.660908,0
7-7-11-7,4,136,0.559349,7
11-15-11-11,4,134,0.492576,11
9-9-14-9,4,132,0.589679,9
9-9-9-3,4,132,0.491675,9
0-0-0-9,4,132,0.427484,0
11-6-11-11,4,130,0.440209,11
9-14-9-9,4,129,0.401300,9
15-15-0-15,4,128,0.462445,15
13-15-15-13,4,127,0.486387,13
5-9-5-5,4,127,0.461457,5
10-10-10-13,4,119,0.510531,10
4-4-3-4,4,118,0.603776,4
0-0-9-0,4,116,0.743805,0
4-4-4-11,4,115,0.593956,4
0-9-0-0,4,113,0.785511,0
4-4-11-4,4,113,0.457752,4
5-5-9-5,4,113,0.428949,5
11-4-11-11,4,111,0.537082,11
11-11-11-3,4,111,0.472481,11
0-3-0-0,4,110,0.687493,0
5-5-5-7,4,110,0.582344,5
4-3-4-4,4,109,0.492166,4
10-10-13-10,4,109,0.486866,10
11-11-11-14,4,109,0.421391,11
5-5-5-11,4,106,0.516178,5
5-7-5-5,4,105,0.625665,5
7-7-7-14,4,105,0.524656,7
4-13-4-13,4,104,0.568985,13
11-11-4-11,4,104,0.541935,11
13-0-0-13,4,102,0.424701,13
7-15-15-7,4,101,0.409400,15
7-14-7-7,4,100,0.629842,7
2-13-2-2,4,100,0.610671,2
0-0-15-0,4,98,0.420609,0
0-0-0-7,4,94,0.443210,0
2-2-2-5,4,93,0.444794,2
5-5-11-5,4,92,0.865729,5
13-4-4-13,4,91,0.684395,13
0-0-7-0,4,86,0.936768,0
5-11-5-5,4,85,0.957137,5
5-5-9-9,4,85,0.468854,9
7-7-0-7,4,84,0.750339,7
11-1-11-11,4,84,0.583128,11
1-1-11-1,4,83,0.652235,1
0-5-0-0,4,83,0.607335,0
15-15-15-3,4,83,0.435263,15
0-0-11-0,4,82,0.597134,0
4-0-4-4,4,81,0.699135,4
1-11-1-1,4,81,0.676106,1
11-11-3-11,4,81,0.470761,11
15-14-15-15,4,81,0.462878,15
0-7-0-0,4,81,0.433057,0
9-3-9-9,4,80,0.739691,9
0-0-0-5,4,80,0.458848,0
11-9-9-11,4,79,0.649775,11
9-9-7-15,4,79,0.488183,9
15-5-15-15,4,79,0.428268,15
9-9-9-4,4,79,0.414035,9
0-4-0-0,4,78,0.523884,0
12-12-12-13,4,77,0.797777,12
